name,lat,lon,status,P20_001,P20_002,P20_003,P20_004,P20_005,P20_006,P20_007,P20_008,P20_009,P20_010,P20_011,P20_012,レベル,備考,緯度,経度,NO
愛宕公園,33.21432811,132.574382,close,38203,愛宕公園,愛媛県宇和島市大超寺奥丙165番地1,一時避難場所、津波一時避難場所,12400,12400,0,0,0,0,0,1,4,,33.21432811,132.574382,825
愛媛河合？駐車場,33.24072,132.569712,close,38203,愛媛河合？駐車場,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.24072,132.569712,826
愛媛女子短期大学,33.235656,132.573381,close,38203,愛媛女子短期大学,愛媛県宇和島市伊吹町甲421番地,収容施設、一時避難場所,13092,17112,0,0,0,0,0,1,1,,33.235656,132.573381,827
愛和聖母幼稚園グランド,33.218102,132.565853,close,38203,愛和聖母幼稚園グランド,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.218102,132.565853,828
安米集会所,33.169987,132.476705,close,38203,安米集会所,愛媛県宇和島市三浦西986番地（安米）,収容施設,46,93,0,0,0,0,0,1,1,,33.169987,132.476705,829
庵寺（老人憩いの家）,33.10574522,132.5045849,,38203,庵寺（老人憩いの家）,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.10574522,132.5045849,830
庵寺境内,33.20486025,132.3656643,,38203,庵寺境内,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.20486025,132.3656643,831
庵寺後方農道,33.14636401,132.4724685,,38203,庵寺後方農道,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.14636401,132.4724685,832
庵寺前の生活道、墓地,33.19425409,132.5100076,,38203,庵寺前の生活道、墓地,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.19425409,132.5100076,833
庵寺裏山,33.08563815,132.4765031,,38203,庵寺裏山,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.08563815,132.4765031,834
庵寺裏墓地,33.08667057,132.465142,,38203,庵寺裏墓地,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.08667057,132.465142,835
伊関美代子宅裏山,33.12476624,132.51359,,38203,伊関美代子宅裏山,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.12476624,132.51359,836
伊勢神社境内,33.215279,132.538582,,38203,伊勢神社境内,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.215279,132.538582,837
伊藤正完宅裏山,33.12170312,132.4695569,,38203,伊藤正完宅裏山,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.12170312,132.4695569,838
一宮神社,33.196143,132.455249,,38203,一宮神社,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.196143,132.455249,839
稲荷宮天満宮神社,33.06032305,132.4836988,,38203,稲荷宮天満宮神社,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.06032305,132.4836988,840
稲田少吉宅上農道,33.14025631,132.5287676,,38203,稲田少吉宅上農道,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.14025631,132.5287676,841
稲葉団地児童遊園地,33.24011505,132.5487338,,38203,稲葉団地児童遊園地,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.24011505,132.5487338,842
